# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,5,0.0,16393,130140866600813,38,25.91771697998047,28.647459250636842,0.7836283003814155,20,1361.1893485739704,3.4028234663852886E38,1.56109798E9,,,,1,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,8,0.0,16392,130140860255139,1000000000,7.0,-351.85218261325485,2.99792458E8,20,-8083.766447006376,3.4028234663852886E38,1.56109798E9,,,,1,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,10,0.0,16392,130140864939808,1000000000,7.140052795410156,198.58685204074186,2.99792458E8,20,4631.582534957697,3.4028234663852886E38,1.56109798E9,,,,0,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,14,0.0,16431,130140920640758,30,20.05872344970703,135.04467038252182,1.0503455564480104,20,4977.778514292171,3.4028234663852886E38,1.56109798E9,,,,0,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,21,0.0,16392,130140913319441,1000000000,9.663455963134766,673.912753650095,2.99792458E8,20,15517.111311730278,3.4028234663852886E38,1.56109798E9,,,,1,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,24,0.0,16431,130140918018182,43,15.888717651367188,-414.0799998975151,1.237394471286855,20,-18272.186936526417,3.4028234663852886E38,1.56109798E9,,,,1,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,26,0.0,16431,130140928382943,26,21.70039176940918,-56.362401189274266,0.9743167156654322,20,-2419.8903214434245,3.4028234663852886E38,1.56109798E9,,,,0,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,29,0.0,16431,130140919962537,15,28.493366241455078,23.048595326843156,0.006503053475171328,17,1010.0242325703438,0.003251526737585664,1.56109798E9,,,,0,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,30,0.0,16392,130140910922352,1000000000,7.0,487.12538438737624,2.99792458E8,20,11195.449740940074,3.4028234663852886E38,1.56109798E9,,,,1,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,35,0.0,16431,130140918920934,6,39.88294982910156,-463.1665330377873,0.0018587216036394238,17,767867.3315795893,9.293608018197119E-4,1.56109798E9,,,,0,,5,61.87746810913086,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,2,0.0,16392,130154917886299,1000000000,24.144086837768555,378.7304258060997,2.99792458E8,18,0.7415705500524952,3.4028234663852886E38,1.57542003E9,,,,0,,6,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,7,0.0,16392,130154919245578,1000000000,7.067371368408203,87.07087770953024,2.99792458E8,18,0.4475964130964152,3.4028234663852886E38,1.57542003E9,,,,0,,6,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,8,0.0,18474,130154921490679,1000000000,38.0413703918457,553.1444318878644,2.99792458E8,20,5977.307329719813,3.4028234663852886E38,1.57542003E9,,,,0,,6,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,27,0.0,16392,130154911078536,1000000000,9.596918106079102,-395.81047398548435,2.99792458E8,18,-2.3114196561300266,3.4028234663852886E38,1.57542003E9,,,,0,,6,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,30,0.0,18440,130154925089566,1000000000,17.487346649169922,-42.987853067041385,2.99792458E8,20,-552.4092080036119,3.4028234663852886E38,1.57542003E9,,,,1,,6,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,36,0.0,18474,130154909434011,1000000000,35.55635452270508,-300.8939681554575,2.99792458E8,20,-2346.963910417716,3.4028234663852886E38,1.57542003E9,,,,0,,6,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,8,0.0,18475,130154921490671,8,32.827392578125,553.1094951278428,0.005239293444901705,17,12160.83037539035,0.0026196467224508524,1.17645005E9,,,,0,,6,8.687385559082031,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,30,0.0,16392,130154925089556,1000000000,16.155622482299805,-42.261611302532145,2.99792458E8,20,614.1266889381632,3.4028234663852886E38,1.17645005E9,,,,0,,6,8.687385559082031,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,36,0.0,18475,130154909433997,8,31.328535079956055,-300.9822542243428,0.006226092576980591,17,-6618.69104955322,0.0031130462884902954,1.17645005E9,,,,0,,6,8.687385559082031,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,10,0.0,16392,130155920133749,1000000000,7.0,137.01131333002928,2.99792458E8,18,138.03836621110062,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,12,0.0,16431,130155930101673,47,23.25311279296875,-366.9463142159684,0.9048018178184782,20,-18884.943940744717,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,13,0.0,16431,130155921850023,14,37.55371856689453,726.1246564944086,0.002408295636996627,17,39470.590510517795,0.0012041478184983134,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
